School	Poverty	Test	City
Coralville	20	65	IowaCity
Hills	42	35	IowaCity
Hoover	10	84	IowaCity
Horn	5	83	IowaCity
Kirkwood	34	49	IowaCity
Lemme	17	69	IowaCity
Lincoln	3	88	IowaCity
Longfel	24	63	IowaCity
Lucas	21	65	IowaCity
Mann	34	58	IowaCity
Penn	24	52	IowaCity
Roosev	35	61	IowaCity
Shimek	4	81	IowaCity
Twain	57	43	IowaCity
Weber	24	66	IowaCity
Wickham	10	62	IowaCity
Wood	31	65	IowaCity
BlackHk	35	46	Waterloo
Edison	62	41	Waterloo
ElkRun	56	48	Waterloo
Grant	81	36	Waterloo
Irving	45	52	Waterloo
Jewett	50	44	Waterloo
Kingsley	15	76	Waterloo
Kittrell	40	48	Waterloo
Lincoln	74	30	Waterloo
Longfel	99	27	Waterloo
Lowell	82	28	Waterloo
McKinst	81	20	Waterloo
Orange	38	56	Waterloo
Roose	80	23	Waterloo
Arthur	13	75	CedarRapids
Cleveland	27	55	CedarRapids
Coolidge	10	72	CedarRapids
Erskine	25	67	CedarRapids
Garfield	39	46	CedarRapids
GrantW	44	55	CedarRapids
Harrison	55	35	CedarRapids
Hiawatha	27	56	CedarRapids
Hoover	30	66	CedarRapids
Jackson	7	69	CedarRapids
Johnson	59	51	CedarRapids
Kenwood	41	75	CedarRapids
Madison	16	70	CedarRapids
Nixon	21	62	CedarRapids
Pierce	3	75	CedarRapids
Polk	80	54	CedarRapids
Taylor	78	36	CedarRapids
Truman	10	57	CedarRapids
VanBuren	52	43	CedarRapids
Wilson	39	41	CedarRapids
Wright	27	53	CedarRapids
Adams	17	52	Davenport
BlueGrange	9	53	Davenport
Buchan	57	37	Davenport
Buffalo	31	43	Davenport
Eisen	40	58	Davenport
Fillmore	57	39	Davenport
Garfield	49	43	Davenport
Grant	38	47	Davenport
Harrison	22	56	Davenport
Hayes	61	30	Davenport
Jackson	58	34	Davenport
Jefferson	89	21	Davenport
Johnson	53	40	Davenport
Lincoln	59	56	Davenport
Madison	87	29	Davenport
McKinley	50	49	Davenport
Monroe	73	36	Davenport
Perry	51	20	Davenport
Truman	40	48	Davenport
Walcott	23	59	Davenport
Wash	71	38	Davenport
Wilson	39	53	Davenport
Adams	50	58	DesMoines
Brooks	79	32	DesMoines
Cattell	49	50	DesMoines
Douglas	37	54	DesMoines
Edmunds	77	28	DesMoines
Findley	61	51	DesMoines
Garton	55	27	DesMoines
Granger	47	49	DesMoines
Greenwd	32	67	DesMoines
Hanawalt	12	79	DesMoines
Hills	31	57	DesMoines
Howe	50	50	DesMoines
Hubbell	22	81	DesMoines
Jackson	40	45	DesMoines
Jefferson	3	74	DesMoines
Longfel	80	50	DesMoines
Lovejoy	62	40	DesMoines
Madison	52	45	DesMoines
Mann	65	32	DesMoines
McKee	57	31	DesMoines
McKinley	78	36	DesMoines
Mitchell	54	46	DesMoines
Monroe	45	53	DesMoines
Moore	40	53	DesMoines
Moulton	83	30	DesMoines
OakPark	52	49	DesMoines
ParkAve	42	36	DesMoines
Perkins	65	51	DesMoines
Phillips	29	61	DesMoines
Pleasant	17	68	DesMoines
Stowe	53	47	DesMoines
Stud	25	53	DesMoines
Wallace	77	24	DesMoines
Watrous	39	47	DesMoines
Willard	84	42	DesMoines
Windsor	32	62	DesMoines
Wood	35	59	DesMoines
Wright	28	60	DesMoines
Bryant	32	56	SiouxCity
Clark	4	78	SiouxCity
Crescent	49	65	SiouxCity
Emerson	53	40	SiouxCity
Everett	79	48	SiouxCity
Grant	50	45	SiouxCity
Hunt	72	43	SiouxCity
Irving	86	27	SiouxCity
Joy	33	65	SiouxCity
Leeds	46	42	SiouxCity
Lincoln	14	76	SiouxCity
Longfel	34	40	SiouxCity
Lowell	54	57	SiouxCity
McKinley	84	37	SiouxCity
Nodland	10	74	SiouxCity
Riverview	60	59	SiouxCity
Roosev	48	50	SiouxCity
Smith	72	39	SiouxCity
Sunnysd	14	73	SiouxCity
Wash	20	57	SiouxCity
Whittier	39	48	SiouxCity
			
